"Program","Size","Complexity","Engine","Batch","Query","Target","Output","Results"
"o","1","VL","davinci","WS","Input: 1\nOutput: 1\n\nInput: 1001\nOutput:","1","1","1"
"o","1","VL","davinci","WS","Input: 1\nOutput: 1\n\nInput: 01010\nOutput:","0","1","0"
"o","1","VL","davinci","WS","Input: 1\nOutput: 1\n\nInput: 1010\nOutput:","1","1","1"
"o","1","VL","davinci","WS","Input: 1\nOutput: 1\n\nInput: 11\nOutput:","1","1","1"
"o","1","VL","davinci","WS","Input: 1\nOutput: 1\n\nInput: -\nOutput:","-","-","1"
"o","1","VL","davinci","AS I","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 1001\nOutput:","1","1","1"
"o","1","VL","davinci","AS I","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 01010\nOutput:","0","1","0"
"o","1","VL","davinci","AS I","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 1010\nOutput:","1","1","1"
"o","1","VL","davinci","AS I","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 11\nOutput:","1","1","1"
"o","1","VL","davinci","AS I","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: -\nOutput:","-","-","1"
"o","1","VL","davinci","AS II","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 01001\nOutput: 0\n\nInput: 10\nOutput: 1\n\nInput: 001\nOutput: 0\n\nInput: 1001\nOutput:","1","1","1"
"o","1","VL","davinci","AS II","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 01001\nOutput: 0\n\nInput: 10\nOutput: 1\n\nInput: 001\nOutput: 0\n\nInput: 01010\nOutput:","0","0","1"
"o","1","VL","davinci","AS II","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 01001\nOutput: 0\n\nInput: 10\nOutput: 1\n\nInput: 001\nOutput: 0\n\nInput: 1010\nOutput:","1","1","1"
"o","1","VL","davinci","AS II","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 01001\nOutput: 0\n\nInput: 10\nOutput: 1\n\nInput: 001\nOutput: 0\n\nInput: 11\nOutput:","1","1","1"
"o","1","VL","davinci","AS II","Input: 1\nOutput: 1\n\nInput: 1\nOutput: 1\n\nInput: 01\nOutput: 0\n\nInput: 01001\nOutput: 0\n\nInput: 10\nOutput: 1\n\nInput: 001\nOutput: 0\n\nInput: -\nOutput:","-","0","0"
">o","2","VL","davinci","WS","Input: 01\nOutput: 1\n\nInput: 1101\nOutput:","1","1","1"
">o","2","VL","davinci","WS","Input: 01\nOutput: 1\n\nInput: 11\nOutput:","1","11","0"
">o","2","VL","davinci","WS","Input: 01\nOutput: 1\n\nInput: 00\nOutput:","0","0","1"
">o","2","VL","davinci","WS","Input: 01\nOutput: 1\n\nInput: 110\nOutput:","1","10","0"
">o","2","VL","davinci","WS","Input: 01\nOutput: 1\n\nInput: 111\nOutput:","1","0","0"
">o","2","VL","davinci","AS I","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 1101\nOutput:","1","1","1"
">o","2","VL","davinci","AS I","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 11\nOutput:","1","1","1"
">o","2","VL","davinci","AS I","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 00\nOutput:","0","0","1"
">o","2","VL","davinci","AS I","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 110\nOutput:","1","1","1"
">o","2","VL","davinci","AS I","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 111\nOutput:","1","1","1"
">o","2","VL","davinci","AS II","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 01\nOutput: 1\n\nInput: -\nOutput: -\n\nInput: 101\nOutput: 0\n\nInput: 1101\nOutput:","1","0","0"
">o","2","VL","davinci","AS II","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 01\nOutput: 1\n\nInput: -\nOutput: -\n\nInput: 101\nOutput: 0\n\nInput: 11\nOutput:","1","0","0"
">o","2","VL","davinci","AS II","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 01\nOutput: 1\n\nInput: -\nOutput: -\n\nInput: 101\nOutput: 0\n\nInput: 00\nOutput:","0","0","1"
">o","2","VL","davinci","AS II","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 01\nOutput: 1\n\nInput: -\nOutput: -\n\nInput: 101\nOutput: 0\n\nInput: 110\nOutput:","1","0","0"
">o","2","VL","davinci","AS II","Input: 01\nOutput: 1\n\nInput: 11101\nOutput: 1\n\nInput: 11110\nOutput: 1\n\nInput: 01\nOutput: 1\n\nInput: -\nOutput: -\n\nInput: 101\nOutput: 0\n\nInput: 111\nOutput:","1","0","0"
"+o","2","VL","davinci","WS","Input: 1\nOutput: -\n\nInput: 01010\nOutput:","1","-","0"
"+o","2","VL","davinci","WS","Input: 1\nOutput: -\n\nInput: 11\nOutput:","-","-","1"
"+o","2","VL","davinci","WS","Input: 1\nOutput: -\n\nInput: 0\nOutput:","1","1","1"
"+o","2","VL","davinci","WS","Input: 1\nOutput: -\n\nInput: 00\nOutput:","1","0","0"
"+o","2","VL","davinci","WS","Input: 1\nOutput: -\n\nInput: 001\nOutput:","1","-","0"
"+o","2","VL","davinci","AS I","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 01010\nOutput:","1","1","1"
"+o","2","VL","davinci","AS I","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 11\nOutput:","-","-","1"
"+o","2","VL","davinci","AS I","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 0\nOutput:","1","0","0"
"+o","2","VL","davinci","AS I","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 00\nOutput:","1","0","0"
"+o","2","VL","davinci","AS I","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 001\nOutput:","1","1","1"
"+o","2","VL","davinci","AS II","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 01010\nOutput:","1","-","0"
"+o","2","VL","davinci","AS II","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 11\nOutput:","-","-","1"
"+o","2","VL","davinci","AS II","Input: 1\nOutput: -\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 0\nOutput:","1","-","0"
