"Program","Size","Complexity","Engine","Batch","Query","Target","Output","Results"
"+o","2","VL","babbage","WS","Input: -\nOutput: 0\n\nInput: 01010\nOutput:","1","01010","0"
"+o","2","VL","babbage","WS","Input: -\nOutput: 0\n\nInput: 11\nOutput:","-","0","0"
"+o","2","VL","babbage","WS","Input: -\nOutput: 0\n\nInput: 0\nOutput:","1","0","0"
"+o","2","VL","babbage","WS","Input: -\nOutput: 0\n\nInput: 00\nOutput:","1","00","0"
"+o","2","VL","babbage","WS","Input: -\nOutput: 0\n\nInput: 001\nOutput:","1","002","0"
"+o","2","VL","babbage","AS I","Input: -\nOutput: 0\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 01010\nOutput:","1","1","1"
"+o","2","VL","babbage","AS I","Input: -\nOutput: 0\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 11\nOutput:","-","1","0"
"+o","2","VL","babbage","AS I","Input: -\nOutput: 0\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 0\nOutput:","1","0","0"
"+o","2","VL","babbage","AS I","Input: -\nOutput: 0\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 00\nOutput:","1","0","0"
"+o","2","VL","babbage","AS I","Input: -\nOutput: 0\n\nInput: 01\nOutput: 1\n\nInput: 01001\nOutput: 1\n\nInput: 001\nOutput:","1","1","1"
"+o","2","VL","babbage","AS II","Input: -\nOutput: 0\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 01010\nOutput:","1","-","0"
"+o","2","VL","babbage","AS II","Input: -\nOutput: 0\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 11\nOutput:","-","-","1"
"+o","2","VL","babbage","AS II","Input: -\nOutput: 0\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 0\nOutput:","1","-","0"
"+o","2","VL","babbage","AS II","Input: -\nOutput: 0\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 00\nOutput:","1","-","0"
"+o","2","VL","babbage","AS II","Input: -\nOutput: 0\n\nInput: 1\nOutput: -\n\nInput: 10\nOutput: -\n\nInput: 1001\nOutput: -\n\nInput: 001\nOutput:","1","-","0"
"-o","2","VL","babbage","WS","Input: -\nOutput: 1\n\nInput: 11\nOutput:","0","1","0"
"-o","2","VL","babbage","WS","Input: -\nOutput: 1\n\nInput: 001\nOutput:","-","001","0"
"-o","2","VL","babbage","WS","Input: -\nOutput: 1\n\nInput: 0\nOutput:","-","1","0"
"-o","2","VL","babbage","WS","Input: -\nOutput: 1\n\nInput: 11010\nOutput:","0","11011","0"
"-o","2","VL","babbage","WS","Input: -\nOutput: 1\n\nInput: 010\nOutput:","-","001","0"
"-o","2","VL","babbage","AS I","Input: -\nOutput: 1\n\nInput: 01\nOutput: -\n\nInput: 1\nOutput: 0\n\nInput: 11\nOutput:","0","0","1"
"-o","2","VL","babbage","AS I","Input: -\nOutput: 1\n\nInput: 01\nOutput: -\n\nInput: 1\nOutput: 0\n\nInput: 001\nOutput:","-","0","0"
"-o","2","VL","babbage","AS I","Input: -\nOutput: 1\n\nInput: 01\nOutput: -\n\nInput: 1\nOutput: 0\n\nInput: 0\nOutput:","-","1","0"
"-o","2","VL","babbage","AS I","Input: -\nOutput: 1\n\nInput: 01\nOutput: -\n\nInput: 1\nOutput: 0\n\nInput: 11010\nOutput:","0","01010","0"
"-o","2","VL","babbage","AS I","Input: -\nOutput: 1\n\nInput: 01\nOutput: -\n\nInput: 1\nOutput: 0\n\nInput: 010\nOutput:","-","0","0"
"-o","2","VL","babbage","AS II","Input: -\nOutput: 1\n\nInput: 1001\nOutput: 0\n\nInput: 10\nOutput: 0\n\nInput: 11001\nOutput: 0\n\nInput: 11\nOutput:","0","0","1"
"-o","2","VL","babbage","AS II","Input: -\nOutput: 1\n\nInput: 1001\nOutput: 0\n\nInput: 10\nOutput: 0\n\nInput: 11001\nOutput: 0\n\nInput: 001\nOutput:","-","0","0"
"-o","2","VL","babbage","AS II","Input: -\nOutput: 1\n\nInput: 1001\nOutput: 0\n\nInput: 10\nOutput: 0\n\nInput: 11001\nOutput: 0\n\nInput: 0\nOutput:","-","0","0"
"-o","2","VL","babbage","AS II","Input: -\nOutput: 1\n\nInput: 1001\nOutput: 0\n\nInput: 10\nOutput: 0\n\nInput: 11001\nOutput: 0\n\nInput: 11010\nOutput:","0","0","1"
"-o","2","VL","babbage","AS II","Input: -\nOutput: 1\n\nInput: 1001\nOutput: 0\n\nInput: 10\nOutput: 0\n\nInput: 11001\nOutput: 0\n\nInput: 010\nOutput:","-","0","0"
"oo","2","VL","babbage","WS","Input: 0\nOutput: 00\n\nInput: 0100\nOutput:","00","00","1"
"oo","2","VL","babbage","WS","Input: 0\nOutput: 00\n\nInput: 100\nOutput:","11","00","0"
"oo","2","VL","babbage","WS","Input: 0\nOutput: 00\n\nInput: 01\nOutput:","00","00","1"
"oo","2","VL","babbage","WS","Input: 0\nOutput: 00\n\nInput: -\nOutput:","-","00","0"
"oo","2","VL","babbage","WS","Input: 0\nOutput: 00\n\nInput: 00011\nOutput:","00","00","1"
"oo","2","VL","babbage","AS I","Input: 0\nOutput: 00\n\nInput: 011\nOutput: 00\n\nInput: 11\nOutput: 11\n\nInput: 0100\nOutput:","00","00","1"
"oo","2","VL","babbage","AS I","Input: 0\nOutput: 00\n\nInput: 011\nOutput: 00\n\nInput: 11\nOutput: 11\n\nInput: 100\nOutput:","11","00","0"
"oo","2","VL","babbage","AS I","Input: 0\nOutput: 00\n\nInput: 011\nOutput: 00\n\nInput: 11\nOutput: 11\n\nInput: 01\nOutput:","00","00","1"
"oo","2","VL","babbage","AS I","Input: 0\nOutput: 00\n\nInput: 011\nOutput: 00\n\nInput: 11\nOutput: 11\n\nInput: -\nOutput:","-","00","0"
"oo","2","VL","babbage","AS I","Input: 0\nOutput: 00\n\nInput: 011\nOutput: 00\n\nInput: 11\nOutput: 11\n\nInput: 00011\nOutput:","00","00011","0"
"oo","2","VL","babbage","AS II","Input: 0\nOutput: 00\n\nInput: 0011\nOutput: 00\n\nInput: 10\nOutput: 11\n\nInput: 1\nOutput: 11\n\nInput: 0100\nOutput:","00","00","1"
"oo","2","VL","babbage","AS II","Input: 0\nOutput: 00\n\nInput: 0011\nOutput: 00\n\nInput: 10\nOutput: 11\n\nInput: 1\nOutput: 11\n\nInput: 100\nOutput:","11","101","0"
"oo","2","VL","babbage","AS II","Input: 0\nOutput: 00\n\nInput: 0011\nOutput: 00\n\nInput: 10\nOutput: 11\n\nInput: 1\nOutput: 11\n\nInput: 01\nOutput:","00","00","1"
"oo","2","VL","babbage","AS II","Input: 0\nOutput: 00\n\nInput: 0011\nOutput: 00\n\nInput: 10\nOutput: 11\n\nInput: 1\nOutput: 11\n\nInput: -\nOutput:","-","00","0"
"oo","2","VL","babbage","AS II","Input: 0\nOutput: 00\n\nInput: 0011\nOutput: 00\n\nInput: 10\nOutput: 11\n\nInput: 1\nOutput: 11\n\nInput: 00011\nOutput:","00","00","1"
"ooo","3","L","babbage","WS","Input: 0\nOutput: 000\n\nInput: 0111\nOutput:","000","0011","0"
"ooo","3","L","babbage","WS","Input: 0\nOutput: 000\n\nInput: 00111\nOutput:","000","00111","0"
"ooo","3","L","babbage","WS","Input: 0\nOutput: 000\n\nInput: 1000\nOutput:","111","000","0"
"ooo","3","L","babbage","WS","Input: 0\nOutput: 000\n\nInput: 010\nOutput:","000","000","1"
"ooo","3","L","babbage","WS","Input: 0\nOutput: 000\n\nInput: 011\nOutput:","000","001","0"
"ooo","3","L","babbage","AS I","Input: 0\nOutput: 000\n\nInput: 1\nOutput: 111\n\nInput: 111\nOutput: 111\n\nInput: 0111\nOutput:","000","111","0"
"ooo","3","L","babbage","AS I","Input: 0\nOutput: 000\n\nInput: 1\nOutput: 111\n\nInput: 111\nOutput: 111\n\nInput: 00111\nOutput:","000","00111","0"
"ooo","3","L","babbage","AS I","Input: 0\nOutput: 000\n\nInput: 1\nOutput: 111\n\nInput: 111\nOutput: 111\n\nInput: 1000\nOutput:","111","111","1"
"ooo","3","L","babbage","AS I","Input: 0\nOutput: 000\n\nInput: 1\nOutput: 111\n\nInput: 111\nOutput: 111\n\nInput: 010\nOutput:","000","000","1"
"ooo","3","L","babbage","AS I","Input: 0\nOutput: 000\n\nInput: 1\nOutput: 111\n\nInput: 111\nOutput: 111\n\nInput: 011\nOutput:","000","111","0"
"ooo","3","L","babbage","AS II","Input: 0\nOutput: 000\n\nInput: 001\nOutput: 000\n\nInput: 11\nOutput: 111\n\nInput: 01\nOutput: 000\n\nInput: 0111\nOutput:","000","000","1"
"ooo","3","L","babbage","AS II","Input: 0\nOutput: 000\n\nInput: 001\nOutput: 000\n\nInput: 11\nOutput: 111\n\nInput: 01\nOutput: 000\n\nInput: 00111\nOutput:","000","000","1"
"ooo","3","L","babbage","AS II","Input: 0\nOutput: 000\n\nInput: 001\nOutput: 000\n\nInput: 11\nOutput: 111\n\nInput: 01\nOutput: 000\n\nInput: 1000\nOutput:","111","000","0"
"ooo","3","L","babbage","AS II","Input: 0\nOutput: 000\n\nInput: 001\nOutput: 000\n\nInput: 11\nOutput: 111\n\nInput: 01\nOutput: 000\n\nInput: 010\nOutput:","000","000","1"
"ooo","3","L","babbage","AS II","Input: 0\nOutput: 000\n\nInput: 001\nOutput: 000\n\nInput: 11\nOutput: 111\n\nInput: 01\nOutput: 000\n\nInput: 011\nOutput:","000","000","1"
"-o+o","4","L","babbage","WS","Input: 1\nOutput: 01\n\nInput: 101\nOutput:","01","01","1"
"-o+o","4","L","babbage","WS","Input: 1\nOutput: 01\n\nInput: 1000\nOutput:","01","01","1"
"-o+o","4","L","babbage","WS","Input: 1\nOutput: 01\n\nInput: 10110\nOutput:","01","01","1"
"-o+o","4","L","babbage","WS","Input: 1\nOutput: 01\n\nInput: 1001\nOutput:","01","01","1"
"-o+o","4","L","babbage","WS","Input: 1\nOutput: 01\n\nInput: 10111\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS I","Input: 1\nOutput: 01\n\nInput: 10101\nOutput: 01\n\nInput: 0101\nOutput: -\n\nInput: 101\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS I","Input: 1\nOutput: 01\n\nInput: 10101\nOutput: 01\n\nInput: 0101\nOutput: -\n\nInput: 1000\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS I","Input: 1\nOutput: 01\n\nInput: 10101\nOutput: 01\n\nInput: 0101\nOutput: -\n\nInput: 10110\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS I","Input: 1\nOutput: 01\n\nInput: 10101\nOutput: 01\n\nInput: 0101\nOutput: -\n\nInput: 1001\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS I","Input: 1\nOutput: 01\n\nInput: 10101\nOutput: 01\n\nInput: 0101\nOutput: -\n\nInput: 10111\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS II","Input: 1\nOutput: 01\n\nInput: 0110\nOutput: -\n\nInput: -\nOutput: 1\n\nInput: 0111\nOutput: -\n\nInput: 101\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS II","Input: 1\nOutput: 01\n\nInput: 0110\nOutput: -\n\nInput: -\nOutput: 1\n\nInput: 0111\nOutput: -\n\nInput: 1000\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS II","Input: 1\nOutput: 01\n\nInput: 0110\nOutput: -\n\nInput: -\nOutput: 1\n\nInput: 0111\nOutput: -\n\nInput: 10110\nOutput:","01","-","0"
"-o+o","4","L","babbage","AS II","Input: 1\nOutput: 01\n\nInput: 0110\nOutput: -\n\nInput: -\nOutput: 1\n\nInput: 0111\nOutput: -\n\nInput: 1001\nOutput:","01","01","1"
"-o+o","4","L","babbage","AS II","Input: 1\nOutput: 01\n\nInput: 0110\nOutput: -\n\nInput: -\nOutput: 1\n\nInput: 0111\nOutput: -\n\nInput: 10111\nOutput:","01","-","0"
"+o+o","4","L","babbage","WS","Input: -\nOutput: 01\n\nInput: 10010\nOutput:","-","01","0"
"+o+o","4","L","babbage","WS","Input: -\nOutput: 01\n\nInput: 10\nOutput:","-","01","0"
"+o+o","4","L","babbage","WS","Input: -\nOutput: 01\n\nInput: 10011\nOutput:","-","01","0"
"+o+o","4","L","babbage","WS","Input: -\nOutput: 01\n\nInput: 101\nOutput:","-","01","0"
