Program;Length;WS;AS I;AS II;Test;Substitution
+o;2;[('', '0')];[('01', '1'), ('01001', '1')];[('1', ''), ('10', ''), ('1001', '')];[('01010', '1'), ('11', ''), ('0', '1'), ('00', '1'), ('001', '1')];1
-o;2;[('', '1')];[('01', ''), ('1', '0')];[('1001', '0'), ('10', '0'), ('11001', '0')];[('11', '0'), ('001', ''), ('0', ''), ('11010', '0'), ('010', '')];1
+oo;3;[('', '00')];[('1011', ''), ('1100', '')];[('11', ''), ('011', '11'), ('1101', '')];[('1110', ''), ('01011', '11'), ('1', ''), ('10', ''), ('01100', '11')];1
+o+o;4;[('10', '')];[('010', '1'), ('0', '1')];[('011', '1'), ('1', ''), ('100', '')];[('10010', ''), ('10', ''), ('10011', ''), ('101', ''), ('0010', '1')];0
-o-o;4;[('00', '')];[('1011', '0'), ('1', '0')];[('01011', ''), ('11', '0'), ('011', '')];[('01100', ''), ('100', '0'), ('0', ''), ('01101', ''), ('101', '0')];0
-oo;3;[('', '11')];[('0', ''), ('01000', '')];[('1', '00'), ('01001', ''), ('1000', '00')];[('1001', '00'), ('00', ''), ('01', ''), ('000', ''), ('01010', '')];1
o;1;[('0', '0')];[('1', '1'), ('01', '0')];[('01001', '0'), ('10', '1'), ('001', '0')];[('1001', '1'), ('01010', '0'), ('1010', '1'), ('11', '1'), ('', '')];1
-[-o];5;[('', '0'), ('0', '')];[('11', ''), ('01', '')];[('1', ''), ('01111', ''), ('10000', '')];[('10001', ''), ('10', ''), ('00', ''), ('1111', ''), ('0001', '')];1
+[+o];5;[('', '1'), ('1', '')];[('010', ''), ('1010', '')];[('0', ''), ('10', ''), ('011', '')];[('100', ''), ('1011', ''), ('1100', ''), ('101', ''), ('11', '')];1
>o;2;[('10', '0')];[('11101', '1'), ('11110', '1')];[('01', '1'), ('', ''), ('101', '0')];[('1101', '1'), ('11', '1'), ('00', '0'), ('110', '1'), ('111', '1')];1
oo;2;[('0', '00')];[('011', '00'), ('11', '11')];[('0011', '00'), ('10', '11'), ('1', '11')];[('0100', '00'), ('100', '11'), ('01', '00'), ('', ''), ('00011', '00')];1
o+o;3;[('0', '01')];[('1', '1'), ('', '')];[('1001', '1'), ('001', '01'), ('010', '01')];[('011', '01'), ('100', '1'), ('1010', '1'), ('01', '01'), ('101', '1')];1
-o+o;4;[('0', ''), ('00', '')];[('10101', '01'), ('0101', '')];[('0110', ''), ('', '1'), ('0111', '')];[('101', '01'), ('1000', '01'), ('10110', '01'), ('1001', '01'), ('10111', '01')];0
+o-o;4;[('101', '')];[('011', '10'), ('', '0')];[('1', ''), ('10011', ''), ('10100', '')];[('0011', '10'), ('100', ''), ('11', ''), ('10101', ''), ('101', '')];0
o-o;3;[('1', '10')];[('10', '10'), ('010', '0')];[('', ''), ('0', '0'), ('0010', '0')];[('0011', '0'), ('0100', '0'), ('011', '0'), ('0101', '0'), ('100', '10')];1
