Program	Witness Set
+o	(('', '0'))
-o	(('', '1'))
+oo	(('', '00'))
+o+o	(('', '01'))
-o-o	(('', '10'))
-oo	(('', '11'))
o	(('0', '0'))
-[-o]	(('', '0'), ('0', ''))
+[+o]	(('', '1'), ('1', ''))
>o	(('10', '0'))
oo	(('0', '00'))
o+o	(('0', '01'))
-o+o	(('1', '01'))
+o-o	(('0', '10'))
o-o	(('1', '10'))
+ooo	(('', '000'))
+oo+o	(('', '001'))
+o+o-o	(('', '010'))
+o+oo	(('', '011'))
-o-oo	(('', '100'))
-o-o+o	(('', '101'))
-oo-o	(('', '110'))
-ooo	(('', '111'))
-[-oo]	(('', '00'), ('0', ''))
-[>+o<-]	(('', '01'), ('0', ''))
-[o-]	(('', '10'), ('0', ''))
+[o+]	(('', '01'), ('1', ''))
+[>-o<+]	(('', '10'), ('1', ''))
+[+oo]	(('', '11'), ('1', ''))
>+o	(('', '0'), ('01', ''))
>-o	(('', '1'), ('10', ''))
>oo	(('10', '00'))
o>o	(('01', '01'))
>o<o	(('10', '01'))
-o>o	(('11', '01'))
+o>o	(('00', '10'))
+oooo	(('', '0000'))
+ooo+o	(('', '0001'))
+oo+o-o	(('', '0010'))
+oo+oo	(('', '0011'))
+o+o-oo	(('', '0100'))
+o+o-o+o	(('', '0101'))
+o+oo-o	(('', '0110'))
+o+ooo	(('', '0111'))
-o-ooo	(('', '1000'))
-o-oo+o	(('', '1001'))
-o-o+o-o	(('', '1010'))
-o-o+oo	(('', '1011'))
-oo-oo	(('', '1100'))
-oo-o+o	(('', '1101'))
-ooo-o	(('', '1110'))
-oooo	(('', '1111'))
->-[<-o]	(('', '01'), ('00', ''))
>+oo	(('', '00'), ('01', ''))
>+o<-o	(('', '01'), ('01', ''))
-o>+o	(('', '10'), ('01', ''))
+o>-o	(('', '01'), ('10', ''))
>-o<+o	(('', '10'), ('10', ''))
>-oo	(('', '11'), ('10', ''))
+>+[<+o]	(('', '10'), ('11', ''))
+ooooo	(('', '00000'))
+oooo+o	(('', '00001'))
+ooo+o-o	(('', '00010'))
+ooo+oo	(('', '00011'))
+oo+o-oo	(('', '00100'))
>+[o<+o+]	(('', '00101'))
+oo+oo-o	(('', '00110'))
+oo+ooo	(('', '00111'))
+o+o-ooo	(('', '01000'))
+o+o-oo+o	(('', '01001'))
>+[o<-o-]	(('', '01010'))
+o+o-o+oo	(('', '01011'))
+o+oo-oo	(('', '01100'))
+o+oo-o+o	(('', '01101'))
+o+ooo-o	(('', '01110'))
+o+oooo	(('', '01111'))
-o-oooo	(('', '10000'))
-o-ooo+o	(('', '10001'))
-o-oo+o-o	(('', '10010'))
-o-oo+oo	(('', '10011'))
-o-o+o-oo	(('', '10100'))
>+[+o<+o]	(('', '10101'))
-o-o+oo-o	(('', '10110'))
-o-o+ooo	(('', '10111'))
-oo-ooo	(('', '11000'))
-oo-oo+o	(('', '11001'))
>-[o<-o-]	(('', '11010'))
-oo-o+oo	(('', '11011'))
-ooo-oo	(('', '11100'))
-ooo-o+o	(('', '11101'))
-oooo-o	(('', '11110'))
-ooooo	(('', '11111'))
+[-o]	(('0', '0'), ('1', ''))
ooo	(('0', '000'))
oo+o	(('0', '001'))
-oo+o	(('1', '001'))
o+o-o	(('0', '010'))
-o+o-o	(('1', '010'))
o+oo	(('0', '011'))
-o+oo	(('1', '011'))
+o-oo	(('0', '100'))
o-oo	(('1', '100'))
+o-o+o	(('0', '101'))
o-o+o	(('1', '101'))
+oo-o	(('0', '110'))
oo-o	(('1', '110'))
+oooooo	(('', '000000'))
+ooooo+o	(('', '000001'))
+oooo+o-o	(('', '000010'))
+oooo+oo	(('', '000011'))
+ooo+o-oo	(('', '000100'))
>+o[o<+o+]	(('', '000101'))
+ooo+oo-o	(('', '000110'))
+[ooo+]	(('', '000111'))
+oo+o-ooo	(('', '001000'))
+[oo+o<+]	(('', '001001'))
>+o[o<-o-]	(('', '001010'))
>+[o<+o+]o	(('', '001011'))
+>+[oo<+]	(('', '001100'))
+oo+oo-o+o	(('', '001101'))
+oo+ooo-o	(('', '001110'))
>+[oo<-]	(('', '001111'))
+o+o-oooo	(('', '010000'))
+o+o-ooo+o	(('', '010001'))
+[o+o-o<+]	(('', '010010'))
+o+o-oo+oo	(('', '010011'))
>+[o<-o-]o	(('', '010100'))
>+[o+o<+]	(('', '010101'))
+o+o-o+oo-o	(('', '010110'))
+o+o-o+ooo	(('', '010111'))
+o+oo-ooo	(('', '011000'))
+o+oo-oo+o	(('', '011001'))
>+o+[o<-o-]	(('', '011010'))
+[o+oo<+]	(('', '011011'))
